iter	Passed	Remaining
405	6306	9148
406	6321	9132
407	6335	9115
408	6351	9099
409	6366	9083
410	6382	9068
411	6398	9053
412	6413	9038
413	6429	9022
414	6444	9006
415	6458	8989
416	6473	8973
417	6488	8956
418	6503	8940
419	6518	8923
420	6532	8906
421	6547	8890
422	6561	8872
423	6576	8856
424	6591	8839
425	6605	8822
426	6619	8805
427	6634	8789
428	6649	8773
429	6664	8756
430	6679	8740
431	6693	8723
432	6708	8706
433	6723	8690
434	6738	8674
435	6752	8658
436	6767	8641
437	6782	8624
438	6796	8607
439	6810	8590
440	6825	8574
441	6839	8557
442	6855	8541
443	6870	8525
444	6884	8509
445	6899	8492
446	6913	8475
447	6928	8459
448	6942	8442
449	6957	8426
450	6972	8409
451	6987	8393
452	7001	8376
453	7015	8360
454	7030	8343
455	7045	8327
456	7059	8311
457	7074	8295
458	7089	8279
459	7105	8263
460	7120	8248
461	7136	8233
462	7152	8218
463	7168	8203
464	7184	8189
465	7201	8174
466	7218	8161
467	7237	8149
468	7253	8135
469	7270	8121
470	7286	8106
471	7303	8092
472	7320	8078
473	7338	8065
474	7355	8052
475	7372	8038
476	7388	8024
477	7404	8009
478	7421	7994
479	7437	7979
480	7453	7965
481	7469	7949
482	7484	7934
483	7500	7919
484	7516	7903
485	7531	7887
486	7545	7871
487	7561	7855
488	7575	7839
489	7589	7822
490	7604	7806
491	7619	7790
492	7634	7773
493	7648	7757
494	7663	7741
495	7678	7725
496	7693	7709
497	7708	7692
498	7722	7675
499	7737	7659
500	7751	7643
501	7766	7627
502	7781	7611
503	7796	7595
504	7811	7579
505	7826	7563
506	7841	7547
507	7855	7531
508	7870	7514
509	7886	7500
510	7902	7485
511	7919	7471
512	7936	7456
513	7952	7442
514	7968	7427
515	7984	7412
516	8000	7396
517	8015	7381
518	8030	7365
519	8046	7349
520	8061	7334
521	8076	7318
522	8091	7302
523	8105	7285
524	8120	7270
525	8137	7256
526	8156	7243
527	8172	7227
528	8187	7212
529	8201	7195
530	8216	7179
531	8230	7163
532	8245	7147
533	8261	7132
534	8276	7116
535	8291	7100
536	8306	7084
537	8321	7068
538	8336	7052
539	8350	7035
540	8364	7019
541	8379	7003
542	8394	6987
543	8408	6971
544	8423	6955
545	8439	6939
546	8453	6923
547	8468	6907
548	8483	6892
549	8498	6875
550	8513	6860
551	8529	6845
552	8544	6829
553	8560	6814
554	8577	6800
555	8594	6785
556	8611	6771
557	8628	6757
558	8644	6742
559	8661	6728
560	8677	6713
561	8693	6698
562	8710	6683
563	8726	6668
564	8743	6654
565	8762	6641
566	8781	6628
567	8797	6613
568	8814	6598
569	8829	6583
570	8845	6568
571	8861	6553
572	8877	6538
573	8894	6523
574	8911	6508
575	8927	6494
576	8945	6480
577	8961	6464
578	8977	6449
579	8992	6434
580	9009	6419
581	9025	6404
582	9042	6390
583	9058	6375
584	9074	6360
585	9090	6344
586	9106	6329
587	9122	6314
588	9139	6299
589	9157	6285
590	9174	6271
591	9191	6256
592	9211	6244
593	9230	6231
594	9248	6217
595	9266	6203
596	9284	6189
597	9302	6175
598	9319	6160
599	9335	6146
600	9352	6131
601	9369	6116
602	9386	6101
603	9403	6087
604	9419	6072
605	9436	6057
606	9453	6042
607	9469	6027
608	9487	6013
609	9503	5998
610	9520	5983
611	9536	5968
612	9554	5953
613	9570	5938
614	9586	5923
615	9602	5907
616	9617	5892
617	9634	5877
618	9650	5862
619	9666	5846
620	9683	5832
621	9700	5817
622	9716	5801
623	9732	5786
624	9748	5771
625	9764	5755
626	9780	5740
627	9797	5725
628	9813	5710
629	9830	5695
630	9847	5680
631	9863	5665
632	9879	5650
633	9897	5635
634	9915	5621
635	9932	5606
636	9948	5591
637	9965	5576
638	9982	5561
639	9999	5546
640	10015	5531
641	10033	5516
642	10050	5502
643	10066	5486
644	10083	5471
645	10099	5456
646	10115	5440
647	10131	5425
648	10146	5409
649	10162	5393
650	10177	5377
651	10192	5361
652	10206	5345
653	10223	5330
654	10240	5315
655	10256	5300
656	10272	5284
657	10288	5269
658	10303	5253
659	10318	5237
660	10333	5221
661	10348	5205
662	10363	5189
663	10377	5173
664	10392	5157
665	10407	5141
666	10422	5125
667	10437	5109
668	10453	5093
669	10467	5077
670	10482	5061
671	10497	5045
672	10512	5029
673	10526	5013
674	10541	4997
675	10556	4981
676	10571	4965
677	10586	4949
678	10602	4934
679	10617	4918
680	10633	4902
681	10647	4886
682	10662	4870
683	10677	4854
684	10692	4838
685	10706	4822
686	10722	4806
687	10737	4791
688	10753	4775
689	10768	4759
690	10784	4744
691	10800	4729
692	10816	4713
693	10833	4698
694	10849	4683
695	10865	4667
696	10882	4652
697	10901	4638
698	10919	4623
699	10936	4609
700	10954	4594
701	10972	4579
702	10990	4564
703	11007	4550
704	11025	4535
705	11043	4520
706	11061	4505
707	11079	4491
708	11096	4476
709	11114	4461
710	11131	4446
711	11149	4431
712	11167	4416
713	11185	4402
714	11204	4387
715	11224	4373
716	11243	4359
717	11263	4345
718	11282	4331
719	11302	4316
720	11323	4303
721	11343	4288
722	11362	4274
723	11383	4261
724	11403	4246
725	11426	4233
726	11446	4219
727	11465	4204
728	11483	4190
729	11504	4176
730	11524	4162
731	11543	4147
732	11561	4132
733	11582	4118
734	11601	4104
735	11620	4089
736	11639	4074
737	11659	4060
738	11678	4045
739	11698	4031
740	11717	4016
741	11736	4001
742	11756	3987
743	11776	3973
744	11797	3958
745	11816	3944
746	11835	3929
747	11853	3914
748	11872	3899
749	11891	3884
750	11911	3870
751	11929	3855
752	11947	3839
753	11965	3824
754	11983	3809
755	12001	3794
756	12019	3778
757	12038	3763
758	12058	3749
759	12077	3734
760	12096	3719
761	12114	3704
762	12132	3689
763	12150	3673
764	12168	3658
765	12187	3643
766	12204	3627
767	12222	3612
768	12240	3597
769	12258	3581
770	12275	3566
771	12295	3551
772	12313	3536
773	12332	3521
774	12352	3506
775	12375	3492
776	12396	3478
777	12416	3463
778	12435	3447
779	12456	3433
780	12494	3423
781	12519	3409
782	12541	3395
783	12561	3380
784	12583	3366
785	12606	3352
786	12625	3336
787	12644	3321
788	12663	3306
789	12684	3291
790	12705	3276
791	12724	3261
792	12744	3246
793	12762	3230
794	12779	3215
795	12797	3199
796	12816	3184
797	12838	3169
798	12858	3154
799	12876	3138
800	12895	3123
801	12913	3107
802	12931	3092
803	12948	3075
804	12964	3059
805	12980	3043
806	12997	3027
807	13013	3011
808	13030	2995
809	13048	2980
810	13070	2965
811	13089	2949
812	13106	2934
813	13124	2918
814	13141	2902
815	13160	2886
816	13178	2871
817	13198	2855
818	13218	2840
819	13238	2825
820	13260	2810
821	13280	2795
822	13300	2779
823	13318	2763
824	13337	2748
825	13356	2732
826	13376	2717
827	13395	2701
828	13415	2686
829	13436	2671
830	13458	2655
831	13479	2640
832	13498	2625
833	13516	2609
834	13534	2593
835	13552	2577
836	13569	2561
837	13586	2545
838	13603	2529
839	13621	2513
840	13638	2497
841	13655	2481
842	13672	2465
843	13690	2449
844	13707	2433
845	13725	2417
846	13742	2401
847	13760	2385
848	13776	2369
849	13792	2352
850	13808	2336
851	13824	2320
852	13842	2304
853	13858	2288
854	13875	2271
855	13891	2255
856	13907	2239
857	13924	2223
858	13939	2207
859	13956	2190
860	13971	2174
861	13988	2158
862	14004	2141
863	14019	2125
864	14035	2109
865	14051	2093
866	14066	2076
867	14082	2060
